company_name,Location,location_type,Sales,URL,phone_number
Luminultra Technologies Ltd,New Brunswick(Canada),Headquarters,8299800,www.luminultra.com,5064598777.0
Mallinckrodt Canada Ulc,Quebec(Canada),Headquarters,8299800,,5144288200.0
Vansen Pharma Inc,Quebec(Canada),Headquarters,8299800,www.vansenpharma.com,5143162513.0
Xphyto Therapeutics Corp.,British Columbia(Canada),Headquarters,8299800,www.xphyto.com,
Liminal R&D Biosciences Inc,Quebec(Canada),Headquarters,7384546,www.liminalbiosciences.com,4507810115.0
Isologic Innovative Radiopharmaceuticals Ltd,Quebec(Canada),Headquarters,7193160,www.isologicradiopharm.ca,5146364711.0
Arbutus Biopharma Corporation,British Columbia(Canada),Headquarters,6914000,www.arbutusbio.com,6044193200.0
Harvest One Cannabis Inc,British Columbia(Canada),Headquarters,6594458,www.harvestone.com,6044499280.0
Direct Nutrisciences Inc,Prince Edward Island(Canada),Headquarters,6546880,www.directnutrisciences.com,9023703802.0
Homeo Technique Inc,Quebec(Canada),Headquarters,6546880,,5142567441.0
Oncolytics Biotech Inc,Alberta(Canada),Headquarters,6532483,www.oncolyticsbiotech.com,4036707377.0
Ceva Animal Health Inc,Ontario(Canada),Headquarters,5809860,www.ceva.com,5198222994.0
Lernapharm (Loris) Inc,Quebec(Canada),Headquarters,5564848,www.lernapharm.com,5143314634.0
Highland Therapeutics Inc,Ontario(Canada),Headquarters,5533200,www.highlandtherapeutics.com,6472607875.0
Emerald Health Sciences Inc,British Columbia(Canada),Headquarters,4910160,www.emeraldhealth.ca,6043300999.0
Strauss Enterprises Ltd,British Columbia(Canada),Headquarters,4255472,www.heartdrops4life.ca,2503765216.0
Ibex Technologies Inc,Quebec(Canada),Headquarters,3849064,www.ibex.ca,5143444004.0
Canada House Wellness Group Inc,Ontario(Canada),Headquarters,3782217,www.canadahouse.ca,
Liminal Biosciences Inc,Quebec(Canada),Headquarters,3683027,www.liminalbiosciences.com,4507810115.0
9055-7588 Quebec Inc,Quebec(Canada),Headquarters,3600784,www.attitudeliving.com,5145097225.0
Sanis Health Inc,Ontario(Canada),Headquarters,3600784,www.sanis.com,8662364076.0
Aurora Cannabis Enterprises Inc.,Alberta(Canada),Headquarters,3273440,www.auroramj.com,7808907463.0
Bc Northern Lights Inc,British Columbia(Canada),Headquarters,3273440,www.growbcnl.com,8669333269.0
Christina Lake Cannabis Corp.,British Columbia(Canada),Headquarters,3273440,www.christinalakecannabis.com,6046872038.0
Fusion Pharmaceuticals Inc.,Ontario(Canada),Headquarters,3273440,www.fusionpharma.com,2897990891.0
Levitee Labs Inc,British Columbia(Canada),Headquarters,3273440,www.leviteelabs.com,8004658640.0
Pegasus Pharmaceutical Group Inc,British Columbia(Canada),Headquarters,3273440,www.ppginco.com,6043039952.0
Sante Veritas Therapeutics Inc,British Columbia(Canada),Headquarters,3273440,www.tiltholdings.com,6047614689.0
Triton Pharma Inc,Quebec(Canada),Headquarters,3273440,www.tritonpharma.ca,5143138417.0
Outlook Resources Inc,Ontario(Canada),Headquarters,3043260,,
Wayland Group Corp,Ontario(Canada),Headquarters,3043260,www.maricann.com,2892886274.0
Sundial Growers Inc,Alberta(Canada),Headquarters,2946096,www.sundialcannabis.com,8442496746.0
Tetra Bio-Pharma Inc,Ontario(Canada),Headquarters,2766600,www.tetrabiopharma.com,8339777575.0
Tracerco Radioactive Diagnostic Services Canada Inc,Ontario(Canada),Headquarters,2766600,www.tracerco.com,5193326160.0
Fsd Pharma Inc,Ontario(Canada),Headquarters,2556189,www.fsdpharma.com,4168548884.0
"The Supreme Cannabis Company, Inc",Ontario(Canada),Headquarters,1936620,www.supreme.ca,4166307272.0
Capcium Inc,Quebec(Canada),Headquarters,1659960,www.capcium.com,5143395986.0
Franchise Cannabis Corp,Ontario(Canada),Headquarters,1636720,www.franchisecannabis.com,
Maricann Inc,Ontario(Canada),Headquarters,1636720,www.maricann.com,8446274226.0
Pond Naturals Inc,British Columbia(Canada),Headquarters,1636720,www.pondnaturals.com,
Veritas Pharma Inc,British Columbia(Canada),Headquarters,1636720,www.veritaspharmainc.com,
Intelgenx Technologies Corp,Quebec(Canada),Headquarters,1544000,www.intelgenx.com,5143317440.0
Pharmacielo Ltd,Ontario(Canada),Headquarters,1383300,www.pharmacielo.com,6475604640.0
Homeolab International (Canada) Inc.,Quebec(Canada),Headquarters,1309376,www.homeolab.com,4384480881.0
Biocure Technology Inc,British Columbia(Canada),Headquarters,1175655,www.biocuretech.com,6046097146.0
Khiron Life Sciences Corp,Ontario(Canada),Headquarters,1130331,www.khiron.ca,7055273564.0
2880512 Canada Inc,Quebec(Canada),Headquarters,982032,www.aromesbeaute.com,
Probiosphere Inc,Quebec(Canada),Headquarters,982032,www.probiosphere.technology,4188685886.0
Quality Powderizing Ltd,Ontario(Canada),Headquarters,982032,www.qualitypowder.com,9058538823.0
Palcare Enterprises Inc,British Columbia(Canada),Headquarters,654688,www.palcare.ca,2505904850.0
Vitality Products Inc,British Columbia(Canada),Headquarters,623679,www.vitality.ca,6045911322.0
Pharmadrug Inc,Ontario(Canada),Headquarters,521889,www.aurahealthinc.com,6472021824.0
7160429 Canada Inc,Quebec(Canada),Headquarters,327344,,
Exmceuticals Inc,British Columbia(Canada),Headquarters,327344,,6044385115.0
Luft Botanicals Inc,Alberta(Canada),Headquarters,327344,www.luftmd.ca,7802718700.0
Mendelikabs Inc.,Quebec(Canada),Headquarters,327344,www.mendelikabs.com,8889599987.0
Searchlight Pharma Inc.,Quebec(Canada),Headquarters,327344,www.searchlightpharma.com,5146131513.0
